generation,incumbent_fitness,historical_network_fitness
0,0.6174957683093285,0.5303
1,0.5873067840383067,0.5303
2,0.5572895739375967,0.5303
3,0.5221936158492779,0.5303
4,0.4981892562616628,0.5303
5,0.4737721520250373,0.5303
6,0.4452607674852256,0.5303
7,0.4452607674852256,0.5303
8,0.4452607674852256,0.5303
9,0.44087391082063276,0.5303
10,0.420970112892555,0.5303
11,0.420970112892555,0.5303
12,0.420970112892555,0.5303
13,0.420970112892555,0.5303
14,0.420970112892555,0.5303
15,0.420970112892555,0.5303
